Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Low income,4.78,4.69,4.73,4.76,4.87,4.99,5.05,5.04,5.01,4.94,4.79,4.63,4.63,4.66,4.79,4.66,4.81,4.85,4.94,4.76,4.75,4.86,4.96,5.06,4.98,4.99,5.69,5.71,5.07,4.91
Sri Lanka,13.03,12.27,11.35,10.6,9.17,8.88,7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.78,4.12,3.88,4.19,4.16,4.52,4.24,4.05,4.32,4.67,5.36,4.98,4.53,6.0
Lower middle income,6.17,6.14,6.05,6.1,6.1,6.14,6.15,6.18,6.2,6.19,6.1,6.06,5.94,5.84,5.89,5.95,5.81,5.9,6.09,6.08,6.0,6.15,6.03,6.12,6.11,5.62,6.66,6.01,4.84,4.4
Low & middle income,5.14,5.37,5.44,5.49,5.67,5.84,5.83,5.98,6.17,6.22,6.09,6.06,5.88,5.79,5.8,5.99,5.78,5.72,5.75,5.71,5.69,5.87,5.95,6.0,5.95,5.81,6.65,6.19,5.45,5.06
Late-demographic dividend,4.29,4.46,4.66,4.94,5.2,5.46,5.29,5.47,5.65,5.89,5.7,5.62,5.37,5.1,5.14,5.57,5.24,5.11,5.02,5.0,4.93,5.1,5.27,5.26,5.04,5.19,5.92,5.5,5.18,4.81
Luxembourg,3.48,2.92,3.29,2.53,2.76,2.39,2.35,1.8,2.62,3.68,5.11,4.49,4.73,4.07,5.06,5.19,4.42,5.12,5.03,6.04,6.04,6.8,6.67,5.52,5.59,5.59,6.77,5.57,4.59,5.18
"Macao SAR, China",2.48,3.58,4.25,3.26,4.61,6.35,6.87,6.39,6.27,6.0,4.9,4.16,3.82,3.27,3.0,3.58,2.84,2.56,1.97,1.82,1.67,1.81,1.94,1.99,1.83,1.75,2.57,2.23,2.48,2.24
Morocco,13.87,14.05,13.4,14.02,13.39,13.94,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.22,9.27,9.19,11.22,10.58,9.49,9.04
Moldova,5.8,5.3,7.9,7.9,10.0,11.14,8.54,7.37,6.84,6.38,6.37,5.63,4.2,2.72,2.07,2.99,2.94,2.65,2.15,1.87,1.42,1.74,1.56,1.59,1.2,1.47,1.19,0.78,0.9,1.56
Madagascar,6.1,6.09,6.09,5.97,5.9,5.82,5.8,5.35,5.5,5.01,3.95,2.62,2.95,3.2,3.44,3.89,4.28,2.51,0.6,1.0,1.39,1.78,1.95,2.12,2.3,2.47,3.28,3.49,3.19,3.07
